"name","email","rollNo","schoolName","class","password"
"student1","student1@gmail.com","1","Delhi Public School","5","3oSylbIr"
"student2","student2@gmail.com","2","Delhi public school","5","5mzjAtqy"
"student3","student3@gmail.com","3","Delhi Public School","5","Zrhp5SqU"
"student4","student4@gmail.com","4","Delhi public school","5","VUlqjwKf"
"student5","student5@gmail.com","5","Delhi public school","5","bHvTkTL6"
"student6","student6@gmail.com","6","Delhi public school","5","ch7GWiBs"
"student7","student7@gmail.com","7","Delhi public school","5","OgrmqOAM"
"student8","student8@gmail.com","8","Delhi public school","5","eHHyVSBm"
"student9","student9@gmail.com","9","Delhi public school","5","w9bbuAiP"
"student10","student10@gmail.com","10","Delhi Public School","5","BwygXLKJ"
"student11","student11@gmail.com","11","Delhi Public School","5","GqvXCzEY"
"student12","student12@gmail.com","12","Delhi public school","5","Xjej3ypn"
"student13","student13@gmail.com","13","Delhi public school","5","CkzI8jQk"
"student14","student14@gmail.com","14","Delhi Public School","5","baPKmW36"
"student15","student15@gmail.com","15","Delhi Public School","5","ujtkVDCv"
"student16","student16@gmail.com","16","Delhi public school","5","z5dsQVgl"
"student17","student17@gmail.com","17","Delhi Public School","5","4Kw7VDWy"
"student18","student18@gmail.com","18","Delhi public school","5","G8y94Nj4"
"student19","student19@gmail.com","19","Delhi public school","5","X1kP7E5e"
"student20","student20@gmail.com","20","Delhi Public School","5","RRigWZq5"
"student21","student21@gmail.com","21","Delhi Public School","5","H4x8k4o2"
"student22","student22@gmail.com","22","Delhi public school","5","UCGInzJ2"
"student23","student23@gmail.com","23","Delhi public school","5","OMY2GPlE"
"student24","student24@gmail.com","24","Delhi Public School","5","ssPgazZ2"
"student25","student25@gmail.com","25","Delhi Public School","5","do9TJIU9"
"student26","student26@gmail.com","26","Delhi public school","5","shglB6WJ"
"student27","student27@gmail.com","27","Delhi public school","5","SFRHfvsu"
"student28","student28@gmail.com","28","Delhi Public School","5","f02Rdujm"
"student29","student29@gmail.com","29","Delhi public school","5","A84BB4DY"
"student30","student30@gmail.com","30","Delhi public school","5","kjWRam47"
"student31","student31@gmail.com","31","Delhi Public School","5","QPFDragL"
"student32","student32@gmail.com","32","Delhi Public School","5","JxLaGUP5"
"student33","student33@gmail.com","33","Delhi Public School","5","IesXHKJO"
"student34","student34@gmail.com","34","Delhi public school","5","58dwZdrc"
"student35","student35@gmail.com","35","Delhi Public School","5","ARLF36MP"
"student36","student36@gmail.com","36","Delhi Public School","5","621lruJt"
"student37","student37@gmail.com","37","Delhi public school","5","FRE7wKn2"
"student38","student38@gmail.com","38","Delhi public school","5","EwUYpVhk"
"student39","student39@gmail.com","39","Delhi Public School","5","UBjhfxGi"
"student40","student40@gmail.com","40","Delhi Public School","5","0mEb9yuf"
"student41","student41@gmail.com","41","Delhi Public School","5","C2zEqsdz"
"student42","student42@gmail.com","42","Delhi public school","5","tSfWhJE2"
"student43","student43@gmail.com","43","Delhi public school","5","fMhzEyDq"
"student44","student44@gmail.com","44","Delhi Public School","5","rX04TAtf"
"student45","student45@gmail.com","45","Delhi public school","5","Bhpyz3Ru"
"student46","student46@gmail.com","46","Delhi Public School","5","lOo3vdpe"
"student47","student47@gmail.com","47","Delhi Public School","5","jUM7y0By"
"student48","student48@gmail.com","48","Delhi Public School","5","sCiqvU8T"
"student49","student49@gmail.com","49","Delhi Public School","5","qn98Inrs"
"student50","student50@gmail.com","50","Delhi public school","5","25GZnaR5"
"student51","student51@gmail.com","51","Delhi Public School","5","FrjTTbai"
"student52","student52@gmail.com","52","Delhi Public School","5","nXh6oIKi"
"student53","student53@gmail.com","53","Delhi public school","5","TDyivzP1"
