"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","euXz2##fLk","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","58JttKJaz4","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","v#FD9&fgM9","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","87nAda9m^R","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","NZ@bj^%5kb","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","&RpJ&syM#k","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","6!GPsj2Kqf","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","x6k^WhdDRw","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","f8XSHpj%b&","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","u9&j@j^JVi","student"
