"name","email","rollNo","schoolName","class","olympiadExam","password","userType","feeStatus"
"student1","student1@gmail.com","1","Delhi Public School","5","National Science Olympiad","VexHTV5bgv","student","Paid"
"student2","student2@gmail.com","2","Delhi Public School","5","National Science Olympiad","UyeTMtj4Pp","student","Paid"
"student3","student3@gmail.com","3","Delhi Public School","5","National Science Olympiad","@FSN35Fdik","student","Paid"
"student4","student4@gmail.com","4","Delhi Public School","5","National Science Olympiad","$p9JMDLCJy","student","Paid"
"student5","student5@gmail.com","5","Delhi Public School","5","National Science Olympiad","wveK@Re$VK","student","Paid"
"student6","student6@gmail.com","6","Delhi Public School","5","National Science Olympiad","KCi!GyJbp#","student","Paid"
"student7","student7@gmail.com","7","Delhi Public School","5","National Science Olympiad","XyZ$rxqEcC","student","Paid"
"student8","student8@gmail.com","8","Delhi Public School","5","National Science Olympiad","QyAJ%t6zYZ","student","Paid"
"student9","student9@gmail.com","9","Delhi Public School","5","National Science Olympiad","4jJZvAYLNv","student","Paid"
"student10","student10@gmail.com","10","Delhi Public School","5","National Science Olympiad","Gm*i4XTu%L","student","Paid"
