"name","email","rollNo","schoolName","class","olympiadExam","password","missingFields"
"student1","student1@gmail.com","1","Delhi Public School","5","National Science Olympiad","Jsz6CTkPWP",
"student2","student2@gmail.com","2","Delhi Public School","5","National Science Olympiad","xSiSUW2VHY",
"student3","student3@gmail.com","3","Delhi Public School","5","National Science Olympiad","U6c2EuhFfm",
"student4","student4@gmail.com","4","Delhi Public School","5","National Science Olympiad","McaK7cgCYw",
"student5","student5@gmail.com","5","Delhi Public School","5","National Science Olympiad","NvJbmbr3ZV",
"student6","student6@gmail.com","6","Delhi Public School","5","National Science Olympiad","u3AvFxg5z7",
"student7","student7@gmail.com","7","Delhi Public School","5","National Science Olympiad","ejM5NcT8gu",
"student8","student8@gmail.com","8","Delhi Public School","5","National Science Olympiad","VCB5T4NXnT",
"student9","student9@gmail.com","9","Delhi Public School","5","National Science Olympiad","8cGh8iuWup",
"student10","student10@gmail.com","10","Delhi Public School","5","National Science Olympiad","VwGuHgNc5U",
