"name","email","rollNo","schoolName","class","olympiadExam","password"
"student1","student1@gmail.com","1","Delhi Public School","5","National Science Olympiad","vLYnbT5wJT"
"student2","student2@gmail.com","2","Delhi Public School","5","National Science Olympiad","hBMx4D54gZ"
"student3","student3@gmail.com","3","Delhi Public School","5","National Science Olympiad","Q7hk9rUnaE"
"student4","student4@gmail.com","4","Delhi Public School","5","National Science Olympiad","DT7zuHXNE2"
"student5","student5@gmail.com","5","Delhi Public School","5","National Science Olympiad","iDuhnpkedV"
"student6","student6@gmail.com","6","Delhi Public School","5","National Science Olympiad","QwyALWLhuX"
"student7","student7@gmail.com","7","Delhi Public School","5","National Science Olympiad","jcCXVjLZ6z"
"student8","student8@gmail.com","8","Delhi Public School","5","National Science Olympiad","nbJPukX3SV"
"student9","student9@gmail.com","9","Delhi Public School","5","National Science Olympiad","PqgG2GWjNj"
"student10","student10@gmail.com","10","Delhi Public School","5","National Science Olympiad","7v6AsCmtdb"
