"name","email","rollNo","schoolName","class","olympiadExam","userType","rawPassword"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","student","3oSylbIr"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","student","Zrhp5SqU"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","student","BwygXLKJ"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","student","GqvXCzEY"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","student","baPKmW36"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","student","ujtkVDCv"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","student","4Kw7VDWy"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","student","RRigWZq5"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","student","H4x8k4o2"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","student","ssPgazZ2"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","student","do9TJIU9"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","student","f02Rdujm"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","student","QPFDragL"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","student","JxLaGUP5"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","student","IesXHKJO"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","student","ARLF36MP"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","student","621lruJt"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","student","UBjhfxGi"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","student","0mEb9yuf"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","student","C2zEqsdz"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","student","rX04TAtf"
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad","student","lOo3vdpe"
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad","student","jUM7y0By"
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad","student","sCiqvU8T"
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad","student","qn98Inrs"
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad","student","FrjTTbai"
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad","student","nXh6oIKi"
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad","student","cf4GuxMy"
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad","student","fcjfOmgX"
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad","student","r2boAyYS"
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad","student","b7ONljsr"
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad","student","TC3omUDI"
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad","student","WFRTXwxO"
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad","student","0xWUS7KZ"
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad","student","MCJuNPQY"
"student73","student73@gmail.com","73","Delhi Public School","5","Science Olympiad","student","BPO7eJd3"
"student74","student74@gmail.com","74","Delhi Public School","5","Science Olympiad","student","8u8IbUKU"
"student75","student75@gmail.com","75","Delhi Public School","5","Science Olympiad","student","1jYfwbUC"
"student78","student78@gmail.com","78","Delhi Public School","5","Science olympiad","student","5qizw2DG"
"student79","student79@gmail.com","79","Delhi Public School","5","Science olympiad","student","NmrUqYx2"
"student80","student80@gmail.com","80","Delhi Public School","5","Science Olympiad","student","iqyEYDzH"
"student81","student81@gmail.com","81","Delhi Public School","5","Science olympiad","student","DzPgd7Mf"
"student83","student83@gmail.com","83","Delhi Public School","5","Science Olympiad","student","lFwpWC9y"
"student86","student86@gmail.com","86","Delhi Public School","5","Science Olympiad","student","qMPArKPG"
"student90","student90@gmail.com","90","Delhi Public School","5","Science olympiad","student","McflkLLM"
"student91","student91@gmail.com","91","Delhi Public School","5","Science olympiad","student","XrdcVaYp"
"student93","student93@gmail.com","93","Delhi Public School","5","Science Olympiad","student","h5dycpVS"
"student94","student94@gmail.com","94","Delhi Public School","5","Science olympiad","student","zIj4PyVx"
"student95","student95@gmail.com","95","Delhi Public School","5","Science Olympiad","student","kHeditmx"
"student96","student96@gmail.com","96","Delhi Public School","5","Science Olympiad","student","Qqy31otR"
"student97","student97@gmail.com","97","Delhi Public School","5","Science olympiad","student","AvKS2Z3p"
"student99","student99@gmail.com","99","Delhi Public School","5","Science Olympiad","student","1gnlP5RA"
