"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"1student","1student@gmail.com","1","Delhi Public School","5","Science Olympiad","Pending","C1rVLZUF"
"2student","2student@gmail.com","2","Delhi Public School","5","Science Olympiad","Paid","WWQYYGLb"
"3student","3student@gmail.com","3","Delhi Public School","5","Science Olympiad","Pending","zK4arf1R"
"4student","4student@gmail.com","4","Delhi Public School","5","Science Olympiad","Paid","IH4DeOeM"
"5student","5student@gmail.com","5","Delhi Public School","5","Science Olympiad","Pending","pBa9gTXh"
"6student","6student@gmail.com","6","Delhi Public School","5","Science Olympiad","Paid","3bNxYrMh"
"7student","7student@gmail.com","7","Delhi Public School","5","Science Olympiad","Pending","uBpnkYq0"
"8student","8student@gmail.com","8","Delhi Public School","5","Science Olympiad","Paid","qVNpiBh4"
"9student","9student@gmail.com","9","Delhi Public School","5","Science Olympiad","Pending","l4F28kE1"
"10student","10student@gmail.com","10","Delhi Public School","5","Science Olympiad","Paid","9yNZLwnW"
"11student","11student@gmail.com","11","Delhi Public School","5","Science Olympiad","Pending","bUJBGFUO"
"12student","12student@gmail.com","12","Delhi Public School","5","Science Olympiad","Paid","xdXaNW0f"
"13student","13student@gmail.com","13","Delhi Public School","5","Science Olympiad","Pending","RcH8eJ3K"
"14student","14student@gmail.com","14","Delhi Public School","5","Science Olympiad","Paid","dy01ItQC"
"15student","15student@gmail.com","15","Delhi Public School","5","Science Olympiad","Pending","UibGo9zv"
"16student","16student@gmail.com","16","Delhi Public School","5","Science Olympiad","Paid","kgQHJzRc"
"17student","17student@gmail.com","17","Delhi Public School","5","Science Olympiad","Pending","V5NkUulr"
"18student","18student@gmail.com","18","Delhi Public School","5","Science Olympiad","Paid","WOdRPXpK"
"19student","19student@gmail.com","19","Delhi Public School","5","Science Olympiad","Pending","bLwZOcN5"
"20student","20student@gmail.com","20","Delhi Public School","5","Science Olympiad","Paid","2r6YFb2o"
"21student","21student@gmail.com","21","Delhi Public School","5","Science Olympiad","Pending","scIIMgiN"
"22student","22student@gmail.com","22","Delhi Public School","5","Science Olympiad","Paid","9acnmkDO"
"23student","23student@gmail.com","23","Delhi Public School","5","Science Olympiad","Pending","tD1wCJFJ"
"24student","24student@gmail.com","24","Delhi Public School","5","Science Olympiad","Paid","dGO2nceZ"
"25student","25student@gmail.com","25","Delhi Public School","5","Science Olympiad","Pending","eozhdkqJ"
"26student","26student@gmail.com","26","Delhi Public School","5","Science Olympiad","Paid","X92a7Xev"
"27student","27student@gmail.com","27","Delhi Public School","5","Science Olympiad","Pending","crfCpqia"
"28student","28student@gmail.com","28","Delhi Public School","5","Science Olympiad","Paid","AENbmMOD"
"29student","29student@gmail.com","29","Delhi Public School","5","Science Olympiad","Pending","7m2oIZUs"
"30student","30student@gmail.com","30","Delhi Public School","5","Science Olympiad","Paid","cIb30f4F"
"31student","31student@gmail.com","31","Delhi Public School","5","Science Olympiad","Pending","SrPS0HSF"
"32student","32student@gmail.com","32","Delhi Public School","5","Science Olympiad","Paid","tg0dRiDe"
"33student","33student@gmail.com","33","Delhi Public School","5","Science Olympiad","Pending","Y1VPhOsB"
"34student","34student@gmail.com","34","Delhi Public School","5","Science Olympiad","Paid","tmat285r"
"35student","35student@gmail.com","35","Delhi Public School","5","Science Olympiad","Pending","DI0zeWCA"
"36student","36student@gmail.com","36","Delhi Public School","5","Science Olympiad","Paid","D184EQUM"
"37student","37student@gmail.com","37","Delhi Public School","5","Science Olympiad","Pending","YPDbkV8M"
"38student","38student@gmail.com","38","Delhi Public School","5","Science Olympiad","Paid","NCdVquLD"
"39student","39student@gmail.com","39","Delhi Public School","5","Science Olympiad","Pending","lHdNAZCf"
"40student","40student@gmail.com","40","Delhi Public School","5","Science Olympiad","Paid","H26J0Szz"
"41student","41student@gmail.com","41","Delhi Public School","5","Science Olympiad","Pending","2C6yysq7"
"42student","42student@gmail.com","42","Delhi Public School","5","Science Olympiad","Paid","mQXM0KfO"
"43student","43student@gmail.com","43","Delhi Public School","5","Science Olympiad","Pending","oLZYoKAh"
"44student","44student@gmail.com","44","Delhi Public School","5","Science Olympiad","Paid","kukkzbsi"
"45student","45student@gmail.com","45","Delhi Public School","5","Science Olympiad","Pending","UyPBnLsD"
"46student","46student@gmail.com","46","Delhi Public School","5","Science Olympiad","Paid","hzCLC71i"
"47student","47student@gmail.com","47","Delhi Public School","5","Science Olympiad","Pending","QhmOt9ZG"
