"name","email","rollNo","schoolName","class","olympiadExam","rawPassword"
"student99","student99@gmail.com","99","Delhi Public School","5","Science Olympiad","1gnlP5RA"
"student98","student98@gmail.com","98","Delhi public school","5","Science Olympiad","3BAO4wSY"
"student97","student97@gmail.com","97","Delhi Public School","5","Science olympiad","AvKS2Z3p"
"student96","student96@gmail.com","96","Delhi Public School","5","Science Olympiad","Qqy31otR"
"student95","student95@gmail.com","95","Delhi Public School","5","Science Olympiad","kHeditmx"
"student100","student100@gmail.com","100","Delhi public school","5","Science olympiad","qJQuhjMo"
"student91","student91@gmail.com","91","Delhi Public School","5","Science olympiad","XrdcVaYp"
"student90","student90@gmail.com","90","Delhi Public School","5","Science olympiad","McflkLLM"
"student89","student89@gmail.com","89","Delhi public school","5","Science olympiad","6UFTWtAy"
"student87","student87@gmail.com","87","Delhi public school","5","Science olympiad","dyoe3c0A"
"student94","student94@gmail.com","94","Delhi Public School","5","Science olympiad","zIj4PyVx"
"student93","student93@gmail.com","93","Delhi Public School","5","Science Olympiad","h5dycpVS"
"student88","student88@gmail.com","88","Delhi public school","5","Science olympiad","rej6Ws7n"
"student92","student92@gmail.com","92","Delhi public school","5","Science Olympiad","oQyU2lRO"
"student82","student82@gmail.com","82","Delhi public school","5","Science Olympiad","Z0op2XfN"
"student81","student81@gmail.com","81","Delhi Public School","5","Science olympiad","DzPgd7Mf"
"student80","student80@gmail.com","80","Delhi Public School","5","Science Olympiad","iqyEYDzH"
"student79","student79@gmail.com","79","Delhi Public School","5","Science olympiad","NmrUqYx2"
"student86","student86@gmail.com","86","Delhi Public School","5","Science Olympiad","qMPArKPG"
"student85","student85@gmail.com","85","Delhi public school","5","Science Olympiad","itEnccwl"
"student84","student84@gmail.com","84","Delhi public school","5","Science olympiad","Sf4hhbVd"
"student83","student83@gmail.com","83","Delhi Public School","5","Science Olympiad","lFwpWC9y"
"student76","student76@gmail.com","76","Delhi public school","5","Science Olympiad","CPmNbDbQ"
"student78","student78@gmail.com","78","Delhi Public School","5","Science olympiad","5qizw2DG"
"student77","student77@gmail.com","77","Delhi public school","5","Science Olympiad","Ohn4RtK2"
"student75","student75@gmail.com","75","Delhi Public School","5","Science Olympiad","1jYfwbUC"
"student74","student74@gmail.com","74","Delhi Public School","5","Science Olympiad","8u8IbUKU"
"student73","student73@gmail.com","73","Delhi Public School","5","Science Olympiad","BPO7eJd3"
"student72","student72@gmail.com","72","Delhi public school","5","Science Olympiad","XBNPijtO"
"student71","student71@gmail.com","71","Delhi public school","5","Science Olympiad","PUVFUmFR"
"student70","student70@gmail.com","70","Delhi public school","5","Science olympiad","Po5Ba1AG"
"student69","student69@gmail.com","69","Delhi public school","5","Science olympiad","ce1sj7Nt"
"student68","student68@gmail.com","68","Delhi public school","5","Science Olympiad","MjIeF0jH"
"student67","student67@gmail.com","67","Delhi public school","5","Science olympiad","CgC6St2l"
"student63","student63@gmail.com","63","Delhi public school","5","Science olympiad","JuRUT1p0"
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad","MCJuNPQY"
"student65","student65@gmail.com","65","Delhi public school","5","Science olympiad","8UpyEhW9"
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad","0xWUS7KZ"
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad","WFRTXwxO"
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad","TC3omUDI"
"student58","student58@gmail.com","58","Delhi public school","5","Science Olympiad","jXcMUs5O"
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad","r2boAyYS"
"student56","student56@gmail.com","56","Delhi public school","5","Science olympiad","aIKxQWNd"
"student59","student59@gmail.com","59","Delhi public school","5","Science olympiad","M4AKHlbs"
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad","b7ONljsr"
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad","nXh6oIKi"
"student53","student53@gmail.com","53","Delhi public school","5","Science Olympiad","TDyivzP1"
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad","cf4GuxMy"
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad","fcjfOmgX"
"student50","student50@gmail.com","50","Delhi public school","5","Science olympiad","25GZnaR5"
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad","FrjTTbai"
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad","jUM7y0By"
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad","qn98Inrs"
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad","sCiqvU8T"
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad","lOo3vdpe"
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad","Bhpyz3Ru"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","rX04TAtf"
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad","tSfWhJE2"
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad","fMhzEyDq"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","UBjhfxGi"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","C2zEqsdz"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","0mEb9yuf"
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad","EwUYpVhk"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","621lruJt"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","ARLF36MP"
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad","58dwZdrc"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","IesXHKJO"
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad","FRE7wKn2"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","JxLaGUP5"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","QPFDragL"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","kjWRam47"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","A84BB4DY"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","do9TJIU9"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","f02Rdujm"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","SFRHfvsu"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","shglB6WJ"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","ssPgazZ2"
