"name","email","rollNo","schoolName","class","olympiadExam","rawPassword","status","createdAt"
"student99","student99@gmail.com","99","Delhi Public School","5","Science Olympiad","1gnlP5RA","active","2025-05-26T17:47:51.644Z"
"student98","student98@gmail.com","98","Delhi public school","5","Science Olympiad","3BAO4wSY","active","2025-05-26T17:47:51.644Z"
"student97","student97@gmail.com","97","Delhi Public School","5","Science olympiad","AvKS2Z3p","active","2025-05-26T17:47:51.644Z"
"student96","student96@gmail.com","96","Delhi Public School","5","Science Olympiad","Qqy31otR","active","2025-05-26T17:47:51.644Z"
"student95","student95@gmail.com","95","Delhi Public School","5","Science Olympiad","kHeditmx","active","2025-05-26T17:47:51.644Z"
"student100","student100@gmail.com","100","Delhi public school","5","Science olympiad","qJQuhjMo","active","2025-05-26T17:47:51.644Z"
"student91","student91@gmail.com","91","Delhi Public School","5","Science olympiad","XrdcVaYp","active","2025-05-26T17:47:51.643Z"
"student90","student90@gmail.com","90","Delhi Public School","5","Science olympiad","McflkLLM","active","2025-05-26T17:47:51.643Z"
"student89","student89@gmail.com","89","Delhi public school","5","Science olympiad","6UFTWtAy","active","2025-05-26T17:47:51.643Z"
"student87","student87@gmail.com","87","Delhi public school","5","Science olympiad","dyoe3c0A","active","2025-05-26T17:47:51.643Z"
"student94","student94@gmail.com","94","Delhi Public School","5","Science olympiad","zIj4PyVx","active","2025-05-26T17:47:51.643Z"
"student93","student93@gmail.com","93","Delhi Public School","5","Science Olympiad","h5dycpVS","active","2025-05-26T17:47:51.643Z"
"student88","student88@gmail.com","88","Delhi public school","5","Science olympiad","rej6Ws7n","active","2025-05-26T17:47:51.643Z"
"student92","student92@gmail.com","92","Delhi public school","5","Science Olympiad","oQyU2lRO","active","2025-05-26T17:47:51.643Z"
"student82","student82@gmail.com","82","Delhi public school","5","Science Olympiad","Z0op2XfN","active","2025-05-26T17:47:51.642Z"
"student81","student81@gmail.com","81","Delhi Public School","5","Science olympiad","DzPgd7Mf","active","2025-05-26T17:47:51.642Z"
"student80","student80@gmail.com","80","Delhi Public School","5","Science Olympiad","iqyEYDzH","active","2025-05-26T17:47:51.642Z"
"student79","student79@gmail.com","79","Delhi Public School","5","Science olympiad","NmrUqYx2","active","2025-05-26T17:47:51.642Z"
"student86","student86@gmail.com","86","Delhi Public School","5","Science Olympiad","qMPArKPG","active","2025-05-26T17:47:51.642Z"
"student85","student85@gmail.com","85","Delhi public school","5","Science Olympiad","itEnccwl","active","2025-05-26T17:47:51.642Z"
"student84","student84@gmail.com","84","Delhi public school","5","Science olympiad","Sf4hhbVd","active","2025-05-26T17:47:51.642Z"
"student83","student83@gmail.com","83","Delhi Public School","5","Science Olympiad","lFwpWC9y","active","2025-05-26T17:47:51.642Z"
"student76","student76@gmail.com","76","Delhi public school","5","Science Olympiad","CPmNbDbQ","active","2025-05-26T17:47:51.641Z"
"student78","student78@gmail.com","78","Delhi Public School","5","Science olympiad","5qizw2DG","active","2025-05-26T17:47:51.641Z"
"student77","student77@gmail.com","77","Delhi public school","5","Science Olympiad","Ohn4RtK2","active","2025-05-26T17:47:51.641Z"
