"name","email","rollNo","schoolName","class","olympiadExam","userType","password"
"student1","student1@gmail.com","1","Delhi Public School","5","National Science Olympiad","student","8Lis4aRzhV"
"student2","student2@gmail.com","2","Delhi Public School","5","National Science Olympiad","student","WwWz2eVGkH"
"student3","student3@gmail.com","3","Delhi Public School","5","National Science Olympiad","student","q96Kbb73Gp"
"student4","student4@gmail.com","4","Delhi Public School","5","National Science Olympiad","student","AKFhf7Eent"
"student5","student5@gmail.com","5","Delhi Public School","5","National Science Olympiad","student","jnTKXSsfDR"
"student6","student6@gmail.com","6","Delhi Public School","5","National Science Olympiad","student","EZC8e4ECQE"
"student7","student7@gmail.com","7","Delhi Public School","5","National Science Olympiad","student","W3TQfVZFRr"
"student8","student8@gmail.com","8","Delhi Public School","5","National Science Olympiad","student","dB7iB2MmfX"
"student9","student9@gmail.com","9","Delhi Public School","5","National Science Olympiad","student","xpfDgrjZQf"
"student10","student10@gmail.com","10","Delhi Public School","5","National Science Olympiad","student","A284NJiWkv"
