name,email,rollNo,schoolName,class,olympiadExam,feeStatus,schoolId
student1,student1@gmail.com,1,Delhi Public School,5,Science olympiad,Paid,123
student2,student2@gmail.com,2,Delhi public school,5,Science olympiad,Unpaid,123
student3,student3@gmail.com,3,Delhi Public School,5,Science olympiad,Unpaid,123
student4,student4@gmail.com,4,Delhi public school,5,Science Olympiad,Paid,123
student5,student5@gmail.com,5,Delhi public school,5,Science olympiad,Unpaid,123
student6,student6@gmail.com,6,Delhi public school,5,Science Olympiad,Paid,123
student7,student7@gmail.com,7,Delhi public school,5,Science olympiad,Paid,123
student8,student8@gmail.com,8,Delhi public school,5,Science olympiad,Unpaid,123
student9,student9@gmail.com,9,Delhi public school,5,Science Olympiad,Paid,123
student10,student10@gmail.com,10,Delhi Public School,5,Science olympiad,Paid,123
student11,student11@gmail.com,11,Delhi Public School,5,Science Olympiad,Unpaid,123
student12,student12@gmail.com,12,Delhi public school,5,Science Olympiad,Paid,123
student13,student13@gmail.com,13,Delhi public school,5,Science olympiad,Paid,123
student14,student14@gmail.com,14,Delhi Public School,5,Science olympiad,Unpaid,123
student15,student15@gmail.com,15,Delhi Public School,5,Science Olympiad,Paid,123
student16,student16@gmail.com,16,Delhi public school,5,Science olympiad,Unpaid,123
student17,student17@gmail.com,17,Delhi Public School,5,Science Olympiad,Unpaid,123
student18,student18@gmail.com,18,Delhi public school,5,Science Olympiad,Unpaid,123
student19,student19@gmail.com,19,Delhi public school,5,Science Olympiad,Unpaid,123
student20,student20@gmail.com,20,Delhi Public School,5,Science olympiad,Unpaid,123
student21,student21@gmail.com,21,Delhi Public School,5,Science Olympiad,Paid,123
student22,student22@gmail.com,22,Delhi public school,5,Science olympiad,Paid,123
student23,student23@gmail.com,23,Delhi public school,5,Science Olympiad,Paid,123
student24,student24@gmail.com,24,Delhi Public School,5,Science olympiad,Paid,123
student25,student25@gmail.com,25,Delhi Public School,5,Science olympiad,Unpaid,123
student26,student26@gmail.com,26,Delhi public school,5,Science olympiad,Paid,123
student27,student27@gmail.com,27,Delhi public school,5,Science olympiad,Paid,123
student28,student28@gmail.com,28,Delhi Public School,5,Science Olympiad,Unpaid,123
student29,student29@gmail.com,29,Delhi public school,5,Science olympiad,Paid,123
student30,student30@gmail.com,30,Delhi public school,5,Science Olympiad,Paid,123
student31,student31@gmail.com,31,Delhi Public School,5,Science olympiad,Paid,123
student32,student32@gmail.com,32,Delhi Public School,5,Science Olympiad,Unpaid,123
student33,student33@gmail.com,33,Delhi Public School,5,Science Olympiad,Paid,123
student34,student34@gmail.com,34,Delhi public school,5,Science olympiad,Unpaid,123
student35,student35@gmail.com,35,Delhi Public School,5,Science olympiad,Unpaid,123
student36,student36@gmail.com,36,Delhi Public School,5,Science olympiad,Unpaid,123
student37,student37@gmail.com,37,Delhi public school,5,Science Olympiad,Paid,123
student38,student38@gmail.com,38,Delhi public school,5,Science Olympiad,Unpaid,123
student39,student39@gmail.com,39,Delhi Public School,5,Science Olympiad,Paid,123
student40,student40@gmail.com,40,Delhi Public School,5,Science olympiad,Unpaid,123
student41,student41@gmail.com,41,Delhi Public School,5,Science Olympiad,Unpaid,123
student42,student42@gmail.com,42,Delhi public school,5,Science olympiad,Paid,123
student43,student43@gmail.com,43,Delhi public school,5,Science olympiad,Paid,123
student44,student44@gmail.com,44,Delhi Public School,5,Science olympiad,Unpaid,123
student45,student45@gmail.com,45,Delhi public school,5,Science olympiad,Paid,123
student46,student46@gmail.com,46,Delhi Public School,5,Science olympiad,Unpaid,123
student47,student47@gmail.com,47,Delhi Public School,5,Science olympiad,Unpaid,123
student48,student48@gmail.com,48,Delhi Public School,5,Science olympiad,Unpaid,123
student49,student49@gmail.com,49,Delhi Public School,5,Science Olympiad,Paid,123
student50,student50@gmail.com,50,Delhi public school,5,Science olympiad,Unpaid,123
student51,student51@gmail.com,51,Delhi Public School,5,Science olympiad,Unpaid,123
student52,student52@gmail.com,52,Delhi Public School,5,Science olympiad,Unpaid,123
student53,student53@gmail.com,53,Delhi public school,5,Science Olympiad,Unpaid,123
student54,student54@gmail.com,54,Delhi Public School,5,Science olympiad,Unpaid,123
student55,student55@gmail.com,55,Delhi Public School,5,Science Olympiad,Paid,123
student56,student56@gmail.com,56,Delhi public school,5,Science olympiad,Unpaid,123
student57,student57@gmail.com,57,Delhi Public School,5,Science Olympiad,Paid,123
student58,student58@gmail.com,58,Delhi public school,5,Science Olympiad,Unpaid,123
student59,student59@gmail.com,59,Delhi public school,5,Science olympiad,Unpaid,123
student60,student60@gmail.com,60,Delhi Public School,5,Science olympiad,Unpaid,123
student61,student61@gmail.com,61,Delhi Public School,5,Science olympiad,Unpaid,123
student62,student62@gmail.com,62,Delhi Public School,5,Science olympiad,Unpaid,123
student63,student63@gmail.com,63,Delhi public school,5,Science olympiad,Unpaid,123
student64,student64@gmail.com,64,Delhi Public School,5,Science Olympiad,Paid,123
student65,student65@gmail.com,65,Delhi public school,5,Science olympiad,Unpaid,123
student66,student66@gmail.com,66,Delhi Public School,5,Science Olympiad,Unpaid,123
student67,student67@gmail.com,67,Delhi public school,5,Science olympiad,Paid,123
student68,student68@gmail.com,68,Delhi public school,5,Science Olympiad,Unpaid,123
student69,student69@gmail.com,69,Delhi public school,5,Science olympiad,Paid,123
student70,student70@gmail.com,70,Delhi public school,5,Science olympiad,Paid,123
student71,student71@gmail.com,71,Delhi public school,5,Science Olympiad,Unpaid,123
student72,student72@gmail.com,72,Delhi public school,5,Science Olympiad,Unpaid,123
student73,student73@gmail.com,73,Delhi Public School,5,Science Olympiad,Unpaid,123
student74,student74@gmail.com,74,Delhi Public School,5,Science Olympiad,Paid,123
student75,student75@gmail.com,75,Delhi Public School,5,Science Olympiad,Unpaid,123
student76,student76@gmail.com,76,Delhi public school,5,Science Olympiad,Unpaid,123
student77,student77@gmail.com,77,Delhi public school,5,Science Olympiad,Paid,123
student78,student78@gmail.com,78,Delhi Public School,5,Science olympiad,Paid,123
student79,student79@gmail.com,79,Delhi Public School,5,Science olympiad,Paid,123
student80,student80@gmail.com,80,Delhi Public School,5,Science Olympiad,Paid,123
student81,student81@gmail.com,81,Delhi Public School,5,Science olympiad,Unpaid,123
student82,student82@gmail.com,82,Delhi public school,5,Science Olympiad,Unpaid,123
student83,student83@gmail.com,83,Delhi Public School,5,Science Olympiad,Paid,123
student84,student84@gmail.com,84,Delhi public school,5,Science olympiad,Paid,123
student85,student85@gmail.com,85,Delhi public school,5,Science Olympiad,Unpaid,123
student86,student86@gmail.com,86,Delhi Public School,5,Science Olympiad,Paid,123
student87,student87@gmail.com,87,Delhi public school,5,Science olympiad,Unpaid,123
student88,student88@gmail.com,88,Delhi public school,5,Science olympiad,Paid,123
student89,student89@gmail.com,89,Delhi public school,5,Science olympiad,Unpaid,123
student90,student90@gmail.com,90,Delhi Public School,5,Science olympiad,Unpaid,123
student91,student91@gmail.com,91,Delhi Public School,5,Science olympiad,Paid,123
student92,student92@gmail.com,92,Delhi public school,5,Science Olympiad,Paid,123
student93,student93@gmail.com,93,Delhi Public School,5,Science Olympiad,Paid,123
student94,student94@gmail.com,94,Delhi Public School,5,Science olympiad,Unpaid,123
student95,student95@gmail.com,95,Delhi Public School,5,Science Olympiad,Unpaid,123
student96,student96@gmail.com,96,Delhi Public School,5,Science Olympiad,Paid,123
student97,student97@gmail.com,97,Delhi Public School,5,Science olympiad,Paid,123
student98,student98@gmail.com,98,Delhi public school,5,Science Olympiad,Paid,123
student99,student99@gmail.com,99,Delhi Public School,5,Science Olympiad,Unpaid,123
student100,student100@gmail.com,100,Delhi public school,5,Science olympiad,Unpaid,123
