"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","createdAt"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:04.945Z"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:05.318Z"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:05.634Z"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:05.949Z"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:06.257Z"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:06.557Z"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:06.856Z"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:07.164Z"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:07.477Z"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad",,"2025-05-27T17:45:07.779Z"
